STATUS | wrapper  | 2020/02/06 13:52:14 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/02/06 13:52:14 | Launching a JVM...
INFO   | jvm 1    | 2020/02/06 13:52:16 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/02/06 13:52:16 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/02/06 13:52:16 | 
INFO   | jvm 1    | 2020/02/06 13:52:18 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/02/06 13:52:39 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2020/02/06 13:52:40 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/02/06 13:53:25 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/02/06 13:53:25 | Launching a JVM...
INFO   | jvm 1    | 2020/02/06 13:53:25 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/02/06 13:53:25 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/02/06 13:53:25 | 
INFO   | jvm 1    | 2020/02/06 13:53:26 | 
INFO   | jvm 1    | 2020/02/06 13:53:26 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/02/06 13:53:26 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at java.lang.Thread.run(Thread.java:748)
INFO   | jvm 1    | 2020/02/06 13:53:26 | Caused by: io.mycat.config.util.ConfigException: org.xml.sax.SAXParseException; lineNumber: 32; columnNumber: 13; 元素类型为 "dataHost" 的内容必须匹配 "(heartbeat,connectionInitSql*,writeHost+)"。
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:121)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:78)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:82)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.config.ConfigInitializer.<init>(ConfigInitializer.java:76)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.config.MycatConfig.<init>(MycatConfig.java:72)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.MycatServer.<init>(MycatServer.java:178)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at io.mycat.MycatServer.<clinit>(MycatServer.java:121)
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	... 7 more
INFO   | jvm 1    | 2020/02/06 13:53:26 | Caused by: org.xml.sax.SAXParseException; lineNumber: 32; columnNumber: 13; 元素类型为 "dataHost" 的内容必须匹配 "(heartbeat,connectionInitSql*,writeHost+)"。
INFO   | jvm 1    | 2020/02/06 13:53:26 | 	at com.sun.org.apache.xerces.internal.util.ErrorHandlerWrapper.createSAXParseException(ErrorHandlerWrapper.java:203)
